,page_number,Sheet Number,subject,Scaled Length,x1,y1,x2,y2,NM,ScaleFactor,author,modified_date,xref,Type,AISC_Manual_Label,W,PB
0,3,,W10X15,19.7875134051,14.235941569,17.3816155328,11.977522956,18.3903011746,fitz-A1,96,W10X15,,1475,W,W10X15,15.0,35.0
1,3,,W4X13,0.0,23.8765530056,23.2700008816,23.8765530056,23.2700008816,fitz-A3,96,W4X13,,1479,W,W4X13,13.0,23.6
2,3,,W10X15,0.0,21.8583340115,36.5433349609,21.8583340115,36.5433349609,fitz-A5,96,W10X15,,1483,W,W10X15,15.0,35.0
3,3,,W10X15,0.0,21.8583340115,30.6899990506,21.8583340115,30.6899990506,fitz-A7,96,W10X15,,1487,W,W10X15,15.0,35.0
4,3,,W10X30,0.0,8.8296474881,13.2475619846,8.8296474881,13.2475619846,fitz-A9,96,W10X30,,1491,W,W10X30,30.0,43.1
5,3,,W4X13,0.0,24.4312438965,24.5099995931,24.4312438965,24.5099995931,fitz-A11,96,W4X13,,1495,W,W4X13,13.0,23.6
6,3,,W10X22,18.9203025401,23.4688245985,25.0633341471,22.5019124349,22.9049818251,fitz-A13,96,W10X22,,1499,W,W10X22,22.0,42.4
7,3,,W8X15,8.5461007335,19.4571889242,23.5394778781,19.022664388,22.5635816786,fitz-A16,96,W8X15,,1505,W,W8X15,15.0,31.3
8,3,,W10X15,14.827609592,17.6699998644,30.0966661241,15.8165486654,30.0966661241,fitz-A18,96,W10X15,,1509,W,W10X15,15.0,35.0
9,3,,W10X15,19.0148654514,17.6699998644,27.0133344862,15.2931416829,27.0133344862,fitz-A20,96,W10X15,,1513,W,W10X15,15.0,35.0
10,3,,W10X33,26.0,18.7966664632,33.9399990506,18.7966664632,30.6899990506,fitz-A22,96,W10X33,,1517,W,W10X33,33.0,49.9
11,3,,W4X13,0.0,21.4931488037,17.9454481337,21.4931488037,17.9454481337,fitz-A24,96,W4X13,,1521,W,W4X13,13.0,23.6
12,3,,W10X49,30.5729067693,17.2012396918,11.0466681586,18.761472914,14.5352783203,fitz-A26,96,W10X49,,1525,W,W10X49,49.0,58.5
13,3,,W10X19,23.2390006332,10.2231530084,15.5241563585,12.8750983344,14.3386247423,fitz-A28,96,W10X19,,1529,W,W10X19,19.0,35.5
14,3,,W4X13,0.0,23.6871812609,22.8466678196,23.6871812609,22.8466678196,fitz-A30,96,W4X13,,1533,W,W4X13,13.0,23.6
15,3,,W10X15,0.0,22.9633331299,36.5433349609,22.9633331299,36.5433349609,fitz-A32,96,W10X15,,1537,W,W10X15,15.0,35.0
16,3,,W10X15,0.0,20.0999993218,20.2349989149,20.0999993218,20.2349989149,fitz-A34,96,W10X15,,1541,W,W10X15,15.0,35.0
